trial,block,code,A,B,C,D,E,F,flow,type,A_txt,B_txt,C_txt,D_txt,E_txt,F_txt,divider,carrier_out
266,5,32,1,0,0,0,0,0,100.0,100000,1,0,0,0,0,0,1,800
267,5,49,1,1,0,0,0,1,33.333333333333336,110001,1,2,0,0,0,7,3,800
268,5,63,1,1,1,1,1,1,16.666666666666668,111111,1,2,3,5,6,7,6,800
269,5,44,1,0,1,1,0,0,33.333333333333336,101100,1,0,3,5,0,0,3,800
270,5,16,0,1,0,0,0,0,100.0,010000,0,2,0,0,0,0,1,800
271,5,11,0,0,1,0,1,1,33.333333333333336,001011,0,0,3,0,6,7,3,800
272,5,20,0,1,0,1,0,0,50.0,010100,0,2,0,5,0,0,2,800
273,5,17,0,1,0,0,0,1,50.0,010001,0,2,0,0,0,7,2,800
274,5,40,1,0,1,0,0,0,50.0,101000,1,0,3,0,0,0,2,800
275,5,14,0,0,1,1,1,0,33.333333333333336,001110,0,0,3,5,6,0,3,800
276,5,54,1,1,0,1,1,0,25.0,110110,1,2,0,5,6,0,4,800
277,5,12,0,0,1,1,0,0,50.0,001100,0,0,3,5,0,0,2,800
278,5,28,0,1,1,1,0,0,33.333333333333336,011100,0,2,3,5,0,0,3,800
279,5,62,1,1,1,1,1,0,20.0,111110,1,2,3,5,6,0,5,800
280,5,24,0,1,1,0,0,0,50.0,011000,0,2,3,0,0,0,2,800
281,5,51,1,1,0,0,1,1,25.0,110011,1,2,0,0,6,7,4,800
282,5,21,0,1,0,1,0,1,33.333333333333336,010101,0,2,0,5,0,7,3,800
283,5,37,1,0,0,1,0,1,33.333333333333336,100101,1,0,0,5,0,7,3,800
284,5,61,1,1,1,1,0,1,20.0,111101,1,2,3,5,0,7,5,800
285,5,2,0,0,0,0,1,0,100.0,000010,0,0,0,0,6,0,1,800
286,5,18,0,1,0,0,1,0,50.0,010010,0,2,0,0,6,0,2,800
287,5,29,0,1,1,1,0,1,25.0,011101,0,2,3,5,0,7,4,800
288,5,5,0,0,0,1,0,1,50.0,000101,0,0,0,5,0,7,2,800
289,5,10,0,0,1,0,1,0,50.0,001010,0,0,3,0,6,0,2,800
290,5,25,0,1,1,0,0,1,33.333333333333336,011001,0,2,3,0,0,7,3,800
291,5,30,0,1,1,1,1,0,25.0,011110,0,2,3,5,6,0,4,800
292,5,42,1,0,1,0,1,0,33.333333333333336,101010,1,0,3,0,6,0,3,800
293,5,58,1,1,1,0,1,0,25.0,111010,1,2,3,0,6,0,4,800
294,5,27,0,1,1,0,1,1,25.0,011011,0,2,3,0,6,7,4,800
295,5,43,1,0,1,0,1,1,25.0,101011,1,0,3,0,6,7,4,800
296,5,19,0,1,0,0,1,1,33.333333333333336,010011,0,2,0,0,6,7,3,800
297,5,59,1,1,1,0,1,1,20.0,111011,1,2,3,0,6,7,5,800
