trial,block,odor,A,B,C,D,E,F,type,code,flow,total_odor_flow,carrier_out
331,10,B,0,1,0,0,0,0,010000,16,10,10,890
332,10,B,0,1,0,0,0,0,010000,16,10,10,890
333,10,B,0,1,0,0,0,0,010000,16,10,10,890
334,10,B,0,1,0,0,0,0,010000,16,10,10,890
335,10,B,0,1,0,0,0,0,010000,16,10,10,890
336,10,B,0,1,0,0,0,0,010000,16,10,10,890
337,10,C,0,0,1,0,0,0,001000,8,10,10,890
338,10,C,0,0,1,0,0,0,001000,8,10,10,890
339,10,C,0,0,1,0,0,0,001000,8,10,10,890
340,10,C,0,0,1,0,0,0,001000,8,10,10,890
341,10,C,0,0,1,0,0,0,001000,8,10,10,890
342,10,C,0,0,1,0,0,0,001000,8,10,10,890
343,10,D,0,0,0,1,0,0,000100,4,10,10,890
344,10,D,0,0,0,1,0,0,000100,4,10,10,890
345,10,D,0,0,0,1,0,0,000100,4,10,10,890
346,10,D,0,0,0,1,0,0,000100,4,10,10,890
347,10,D,0,0,0,1,0,0,000100,4,10,10,890
348,10,D,0,0,0,1,0,0,000100,4,10,10,890
349,10,E,0,0,0,0,1,0,000010,2,10,10,890
350,10,E,0,0,0,0,1,0,000010,2,10,10,890
351,10,E,0,0,0,0,1,0,000010,2,10,10,890
352,10,E,0,0,0,0,1,0,000010,2,10,10,890
353,10,E,0,0,0,0,1,0,000010,2,10,10,890
354,10,E,0,0,0,0,1,0,000010,2,10,10,890
355,10,F,0,0,0,0,0,1,000001,1,10,10,890
356,10,F,0,0,0,0,0,1,000001,1,10,10,890
357,10,F,0,0,0,0,0,1,000001,1,10,10,890
358,10,F,0,0,0,0,0,1,000001,1,10,10,890
359,10,F,0,0,0,0,0,1,000001,1,10,10,890
360,10,F,0,0,0,0,0,1,000001,1,10,10,890
