trial,block,A,B,C,D,E,F,type,code,odor_number,flow,total_odor_flow,carrier_out
379,6,1,0,1,0,1,0,101010,42,3,100,300,600
380,6,0,1,1,0,0,0,011000,24,2,100,200,700
381,6,1,1,0,1,0,1,110101,53,4,100,400,500
382,6,1,1,1,0,1,0,111010,58,4,100,400,500
383,6,0,1,0,1,1,0,010110,22,3,100,300,600
384,6,1,0,0,1,1,0,100110,38,3,100,300,600
385,7,0,0,1,0,0,0,001000,8,1,100,100,800
386,7,1,1,0,1,1,0,110110,54,4,100,400,500
387,7,1,1,0,0,0,0,110000,48,2,100,200,700
388,7,0,1,0,0,0,1,010001,17,2,100,200,700
389,7,0,0,0,0,0,0,000000,0,0,0,0,900
390,7,1,0,0,0,0,0,100000,32,1,100,100,800
391,7,1,1,1,1,1,0,111110,62,5,100,500,400
392,7,1,1,0,1,0,0,110100,52,3,100,300,600
393,7,0,1,0,0,0,0,010000,16,1,100,100,800
394,7,1,0,0,1,0,0,100100,36,2,100,200,700
395,7,1,1,1,1,1,1,111111,63,6,100,600,300
396,7,0,0,0,0,1,1,000011,3,2,100,200,700
397,7,0,1,0,1,0,1,010101,21,3,100,300,600
398,7,0,1,1,0,1,0,011010,26,3,100,300,600
399,7,0,0,1,0,1,1,001011,11,3,100,300,600
400,7,0,1,1,0,0,0,011000,24,2,100,200,700
401,7,0,0,1,1,1,0,001110,14,3,100,300,600
402,7,1,1,1,0,1,0,111010,58,4,100,400,500
403,7,0,0,0,1,1,0,000110,6,2,100,200,700
404,7,1,0,1,1,0,1,101101,45,4,100,400,500
405,7,1,0,1,0,0,1,101001,41,3,100,300,600
406,7,1,0,1,0,0,0,101000,40,2,100,200,700
407,7,1,0,1,1,0,0,101100,44,3,100,300,600
408,7,1,1,0,1,0,1,110101,53,4,100,400,500
409,7,0,1,1,1,0,1,011101,29,4,100,400,500
410,7,0,0,0,1,1,1,000111,7,3,100,300,600
411,7,1,1,1,1,0,0,111100,60,4,100,400,500
412,7,1,1,0,0,1,1,110011,51,4,100,400,500
413,7,0,0,0,1,0,1,000101,5,2,100,200,700
414,7,0,0,1,0,1,0,001010,10,2,100,200,700
415,7,0,1,0,1,1,0,010110,22,3,100,300,600
416,7,0,0,0,1,0,0,000100,4,1,100,100,800
417,7,0,1,0,1,0,0,010100,20,2,100,200,700
418,7,1,1,1,0,0,1,111001,57,4,100,400,500
419,7,1,0,0,1,1,1,100111,39,4,100,400,500
420,7,0,1,1,1,1,1,011111,31,5,100,500,400
421,7,1,0,1,0,1,0,101010,42,3,100,300,600
422,7,1,0,0,1,1,0,100110,38,3,100,300,600
423,7,1,1,1,0,0,0,111000,56,3,100,300,600
424,7,1,1,0,0,1,0,110010,50,3,100,300,600
425,7,0,1,1,0,0,1,011001,25,3,100,300,600
426,7,1,0,0,0,1,1,100011,35,3,100,300,600
427,7,0,0,1,1,0,0,001100,12,2,100,200,700
428,7,1,0,0,0,1,0,100010,34,2,100,200,700
429,7,0,0,1,0,0,1,001001,9,2,100,200,700
430,7,1,0,1,0,1,1,101011,43,4,100,400,500
431,7,1,0,0,0,0,1,100001,33,2,100,200,700
432,7,0,1,0,0,1,0,010010,18,2,100,200,700
433,7,1,0,1,1,1,1,101111,47,5,100,500,400
434,7,0,1,1,1,0,0,011100,28,3,100,300,600
435,7,0,1,1,0,1,1,011011,27,4,100,400,500
436,7,0,1,1,1,1,0,011110,30,4,100,400,500
437,7,0,1,0,0,1,1,010011,19,3,100,300,600
438,7,1,1,1,0,1,1,111011,59,5,100,500,400
439,7,0,0,1,1,1,1,001111,15,4,100,400,500
440,7,0,0,0,0,1,0,000010,2,1,100,100,800
441,7,1,1,0,1,1,1,110111,55,5,100,500,400
442,7,1,0,1,1,1,0,101110,46,4,100,400,500
443,7,1,1,0,0,0,1,110001,49,3,100,300,600
444,7,0,1,0,1,1,1,010111,23,4,100,400,500
445,7,0,0,1,1,0,1,001101,13,3,100,300,600
446,7,1,0,0,1,0,1,100101,37,3,100,300,600
447,7,0,0,0,0,0,1,000001,1,1,100,100,800
448,7,1,1,1,1,0,1,111101,61,5,100,500,400
449,8,1,1,0,1,1,1,110111,55,5,100,500,400
450,8,1,0,0,1,1,1,100111,39,4,100,400,500
451,8,0,0,0,0,1,0,000010,2,1,100,100,800
452,8,0,0,0,1,1,0,000110,6,2,100,200,700
453,8,0,1,1,0,0,0,011000,24,2,100,200,700
454,8,1,0,0,1,0,0,100100,36,2,100,200,700
455,8,1,0,0,1,0,1,100101,37,3,100,300,600
456,8,1,0,0,0,0,1,100001,33,2,100,200,700
457,8,0,0,1,0,1,1,001011,11,3,100,300,600
458,8,1,1,1,1,0,1,111101,61,5,100,500,400
459,8,0,1,1,0,0,1,011001,25,3,100,300,600
460,8,1,1,0,0,0,0,110000,48,2,100,200,700
461,8,1,0,1,1,0,1,101101,45,4,100,400,500
462,8,1,0,1,1,1,1,101111,47,5,100,500,400
463,8,0,0,0,1,0,1,000101,5,2,100,200,700
464,8,1,0,1,0,1,1,101011,43,4,100,400,500
465,8,0,1,0,1,0,0,010100,20,2,100,200,700
466,8,0,1,0,1,1,0,010110,22,3,100,300,600
467,8,0,0,1,0,1,0,001010,10,2,100,200,700
468,8,0,0,0,0,0,1,000001,1,1,100,100,800
469,8,1,0,0,0,0,0,100000,32,1,100,100,800
470,8,1,0,1,1,0,0,101100,44,3,100,300,600
471,8,0,0,1,1,0,1,001101,13,3,100,300,600
472,8,1,0,0,0,1,1,100011,35,3,100,300,600
473,8,0,0,0,1,1,1,000111,7,3,100,300,600
474,8,1,1,1,1,0,0,111100,60,4,100,400,500
475,8,1,1,1,0,1,1,111011,59,5,100,500,400
